seed,winner,turns,commands,damage,final_hash
1057,Red,23,22,362,b73b420e677c92f4eeaa08003cf40717f40070931dcfbbc8f454e63b1b383229
1058,Red,29,28,368,0e9804d12b4e4291e070ef945eaf479c12813253682f71f245780995736aa8f8
1059,Blue,20,19,300,f90f4a8feebf656c4b8d586b0dfd7013408efed78d91f940fdb997f02fc262e6
1060,Red,25,24,343,b2f40902ab4d27441d7e290820383db7044ff69bd309dc8215f939b238fbdf23
1061,Red,29,28,370,4b1fc8d6e5957289a127fed252fcb505cead52781af74d6288a2ff5251a99223
1062,Red,31,30,389,05b991b165882abdd788e0be5567bfda6e8a9c696e0691dcdc88092f38446249
1063,Blue,24,23,372,13f8758a75b0ddf7e4853c98d8e58b444116a2f6c407dac64fd81d279e573a38
1064,Blue,26,25,386,18c37b9fca3ddc4c064c9b74523777cff08feeb5cc09ad47e4b280e221d61797
1065,Blue,34,33,388,8a770d35208fb0408f7ded8e19c940557392d51b2f7e608d75a05fa7d9cf2a19
1066,Red,27,26,358,1cde4961aacfec8182ce8171e868fd9e43c373d96bf00bd4fb223dbbea8caccb
1067,Red,31,30,324,9096ffe567a53e8b1a1fba2a62df578d17b925dbdb688320949da8074bea74d8
1068,Red,27,26,382,b171bc3589959f00685594cb2ae89e3b9dc36045b86592ddad0aaee058bc41ba
1069,Red,29,28,386,f72e2c4b0a2221690c180c9bc7d2bf084b94e16d5d77a8ff24a950c0889645be
1070,Blue,26,25,322,30dceec432cb07f852ca060360e3505951510f554821d32b77ae1bf836e28673
1071,Red,29,28,377,5ec29155b0e65e3ac9fcf340576eecb1658659786fc2ed0eaf3d01b55bc6eefd
1072,Blue,24,23,354,6b28fefcd23c370a21a46750edd36a59b726fb8a65ed8af8788a63ea301755b1
1073,Blue,24,23,399,51b88ea056ec5b7695c4337849e8c755ccdafa34e6e168565f09dd5f113a169c
1074,Blue,26,25,366,bc8738886b81df8e6e2645c55384185aa5e8b92aca91f9473eaf3780d9e4f44d
1075,Red,27,26,354,4891d3bbbf9d9b63da1f6f307aaccc34fe8440e7e1413f304c75422b1035a776
1076,Blue,26,25,320,aeb2de9a5221146df74e62701fdb05575ba6eeda87bedbeec06345e53e49f81f
1077,Blue,28,27,317,86495961f49703b1f753ae1cf89f50763d475f4c46e13497915434dc7882d893
1078,Red,35,34,363,2aabc88d0edda7b588e51a1034c3d47bd02e9bd47c9e04773737b8cddcdd1a91
1079,Red,31,30,377,9ccb8ec08e0c3567d3d2604d7074cd48837a5cea72fa733f17fc88bcc455090f
1080,Blue,24,23,334,5afb605b7db796c5302d26dfc38cbbb4cfe60e8d8bd291b09d4974e75d0bf0ac
1081,Red,31,30,392,a7a0ae8738defc61b6cc71e66014398490910d04c49c8badce04bbbe2f37b973
1082,Blue,28,27,356,9b326038c3a4dcc98058165116f71ce0b3b40cbd50da799f6bcfea3a3590594e
1083,Blue,24,23,300,8e57fc09f05191f5ac50ca7ab07e6fb27755f579b44e51a9f9648fa9373ebb3e
1084,Blue,32,31,382,edc106d7edde24cad90827d288b83b9640d9a322869316e6242ae6ee1eb1ca57
1085,Blue,26,25,360,c969049dcd485cb7187389b7a00fe1cbb7f931ef15358708e17477b99e26f33a
1086,Blue,28,27,386,dee1bdb191ed0b2457d3cff5ba0c07ede16bbde79e79f6ef31461e76a9fa5b15
1087,Red,29,28,370,50c0b762d9932c1af00075d51530e828e6595cc9a1b07889c294c9610548b108
1088,Red,23,22,346,2cef3995cf7e6f525e8df8c5cf90b9be87d86e276cc976e803b53d124b513905
1089,Blue,24,23,300,b544b766423e3bc5c147f3ebbd42224f879b6cd6e679dbaa57f62279a5af5c7c
1090,Red,33,32,393,c8c7a6f83cc90e9a9133990ff651da90dca9aac0ad76ec0a3077c469c439da2e
1091,Red,25,24,300,f509ac962544667d0bed0170dad1d7cd2348c38c0c1b29f925405a2db92d29b2
1092,Blue,30,29,364,b586e04c714663a406fc7292fe9e440105f86137d9cd16bb9eba6b057564e680
1093,Blue,24,23,357,815ca8b16303582fca1538b30f14f0dbfc071ad8b622b3c1c6d9c3b6c0006f3f
1094,Red,25,24,382,c55d8af26add4866cf852409be415cab48523e49ae3556f9588b9e18eae3536d
